Timestamp|Sender|Message
2024-02-05 17:06:00|Muthu|Hurry up guys! Last push!
2024-02-05 18:30:00|Boss Chong|Alright team, it's getting late. Status update before we close for the day?
2024-02-05 18:33:10|Kak Yah|Boss, total 250 parcels keluar hari ni. Ada lagi 50 lebih tak sempat nak key-in. Esok kena sambung awal pagi.
2024-02-05 18:35:45|Farhan|Boss, badan dah hancur ni. Barang dah clear sikit. Tapi esok pagi datang dah bertimbun balik.
2024-02-05 18:38:10|Muthu|Boss, not bad lah for today. 250 is good. But that 50 must clear first thing tomorrow.
2024-02-05 18:40:50|Boss Chong|Good effort everyone. Kak Yah, Farhan, you two especially. Go home, rest. We tackle the remaining tomorrow.
2024-02-05 18:43:20|Kak Yah|Okay Boss. Terima kasih. Mata dah tak nampak dah ni.
2024-02-05 18:45:55|Farhan|Thanks Boss. Selamat malam semua. Rasa nak tidur terus sampai raya.
2024-02-05 18:48:30|Muthu|Good job team! Tomorrow we repeat, more sales!
2024-02-05 19:00:00|Boss Chong|Muthu, go home. Rest. Everyone needs to recharge. See you all tomorrow.
2024-02-05 19:02:15|Muthu|Roger Boss! Good night!
2024-02-05 20:15:00|Farhan|Muthu, jom lepak mamak Hakim. Penat gila siot harini.
2024-02-05 20:30:00|Muthu|On wei! Gua dah sampai, order teh tarik satu.
