Date,Employee_ID,Clock_In,Clock_Out,Total_Hours,OT_Hours
2023-03-23,Person_0,08:43,16:43,8.0,0.0
2023-03-24,Person_0,08:41,16:40,7.98,0.0
2023-03-25,Person_0,08:48,16:42,7.9,0.0
2023-03-26,Person_0,08:44,16:46,8.03,0.03
2023-03-27,Person_0,08:42,16:44,8.03,0.03
2023-03-28,Person_0,08:47,16:44,7.95,0.0
2023-03-29,Person_0,08:41,16:39,7.97,0.0
2023-03-30,Person_0,08:49,16:41,7.87,0.0
2023-03-31,Person_0,08:46,16:49,8.05,0.05
2023-04-01,Person_0,08:43,16:43,8.0,0.0
2023-04-02,Person_0,08:51,16:45,7.9,0.0
2023-04-03,Person_0,08:45,16:44,7.98,0.0
2023-04-04,Person_0,08:51,16:47,7.93,0.0
2023-04-05,Person_0,08:42,16:44,8.03,0.03
2023-04-06,Person_0,08:49,16:48,7.98,0.0
2023-04-07,Person_0,08:43,16:42,7.98,0.0
2023-04-08,Person_0,08:45,16:46,8.02,0.02
2023-04-09,Person_0,08:47,16:44,7.95,0.0
2023-04-10,Person_0,08:47,16:47,8.0,0.0
2023-04-11,Person_0,08:39,16:47,8.13,0.13
2023-04-12,Person_0,08:44,16:45,8.02,0.02
2023-04-13,Person_0,08:50,16:47,7.95,0.0
2023-04-14,Person_0,08:51,16:41,7.83,0.0
2023-04-15,Person_0,08:45,16:45,8.0,0.0
2023-04-16,Person_0,08:43,16:43,8.0,0.0
2023-04-17,Person_0,08:45,16:40,7.92,0.0
2023-04-18,Person_0,08:45,16:46,8.02,0.02
2023-04-19,Person_0,08:45,16:42,7.95,0.0
2023-04-20,Person_0,08:42,16:46,8.07,0.07
2023-04-21,Person_0,08:43,16:48,8.08,0.08
2023-04-22,Person_0,08:47,16:43,7.93,0.0
2023-04-23,Person_0,08:46,16:43,7.95,0.0
2023-04-24,Person_0,08:44,16:46,8.03,0.03
2023-04-25,Person_0,08:46,16:39,7.88,0.0
2023-04-26,Person_0,08:46,16:50,8.07,0.07
2023-04-27,Person_0,08:46,16:47,8.02,0.02
2023-04-28,Person_0,08:42,16:42,8.0,0.0
2023-04-29,Person_0,08:48,16:43,7.92,0.0
2023-04-30,Person_0,08:45,16:49,8.07,0.07
2023-05-01,Person_0,08:45,16:42,7.95,0.0
2023-05-02,Person_0,08:47,16:44,7.95,0.0
2023-05-03,Person_0,08:46,16:49,8.05,0.05
2023-05-04,Person_0,08:36,16:39,8.05,0.05
2023-05-05,Person_0,08:42,16:51,8.15,0.15
2023-05-06,Person_0,08:46,16:40,7.9,0.0
2023-05-07,Person_0,08:45,16:47,8.03,0.03
2023-05-08,Person_0,08:43,16:48,8.08,0.08
2023-05-09,Person_0,08:48,16:48,8.0,0.0
2023-05-10,Person_0,08:45,16:42,7.95,0.0
2023-05-11,Person_0,08:46,16:41,7.92,0.0
2023-05-12,Person_0,08:44,16:43,7.98,0.0
2023-05-13,Person_0,08:49,16:44,7.92,0.0
2023-05-14,Person_0,08:47,16:45,7.97,0.0
2023-05-15,Person_0,08:45,16:45,8.0,0.0
2023-05-16,Person_0,08:46,16:50,8.07,0.07
2023-05-17,Person_0,08:47,16:40,7.88,0.0
2023-05-18,Person_0,08:46,16:45,7.98,0.0
2023-05-19,Person_0,08:46,16:43,7.95,0.0
2023-05-20,Person_0,08:45,16:43,7.97,0.0
2023-05-21,Person_0,08:49,16:44,7.92,0.0
2023-05-22,Person_0,08:41,16:45,8.07,0.07
2023-05-23,Person_0,08:48,16:48,8.0,0.0
2023-05-24,Person_0,08:49,16:41,7.87,0.0
2023-05-25,Person_0,08:44,16:46,8.03,0.03
2023-05-26,Person_0,08:45,16:41,7.93,0.0
2023-05-27,Person_0,08:47,16:50,8.05,0.05
2023-05-28,Person_0,08:49,16:44,7.92,0.0
2023-05-29,Person_0,08:44,16:44,8.0,0.0
2023-05-30,Person_0,08:42,16:49,8.12,0.12
2023-05-31,Person_0,08:43,16:44,8.02,0.02
2023-06-01,Person_0,08:41,16:51,8.17,0.17
2023-06-02,Person_0,08:48,16:44,7.93,0.0
2023-06-03,Person_0,08:42,16:46,8.07,0.07
2023-06-04,Person_0,08:42,16:41,7.98,0.0
2023-06-05,Person_0,08:49,16:44,7.92,0.0
2023-06-06,Person_0,08:42,16:41,7.98,0.0
2023-06-07,Person_0,08:40,16:46,8.1,0.1
2023-06-08,Person_0,08:47,16:47,8.0,0.0
2023-06-09,Person_0,08:47,16:41,7.9,0.0
2023-06-10,Person_0,08:45,16:47,8.03,0.03
2023-06-11,Person_0,08:49,16:48,7.98,0.0
2023-06-12,Person_0,08:44,16:50,8.1,0.1
2023-06-13,Person_0,08:45,16:49,8.07,0.07
2023-06-14,Person_0,08:46,16:42,7.93,0.0
2023-06-15,Person_0,08:43,16:42,7.98,0.0
2023-06-16,Person_0,08:42,16:47,8.08,0.08
2023-06-17,Person_0,08:52,16:43,7.85,0.0
2023-06-18,Person_0,08:42,16:42,8.0,0.0
2023-06-19,Person_0,08:45,16:48,8.05,0.05
2023-06-20,Person_0,08:49,16:45,7.93,0.0
2023-06-21,Person_0,08:40,16:48,8.13,0.13
2023-06-22,Person_0,08:43,16:50,8.12,0.12
2023-06-23,Person_0,08:45,16:45,8.0,0.0
2023-06-24,Person_0,08:44,16:48,8.07,0.07
2023-06-25,Person_0,08:49,16:49,8.0,0.0
2023-06-26,Person_0,08:45,16:40,7.92,0.0
2023-06-27,Person_0,08:45,16:46,8.02,0.02
2023-06-28,Person_0,08:47,16:41,7.9,0.0
2023-06-29,Person_0,08:46,16:47,8.02,0.02
2023-06-30,Person_0,08:43,16:44,8.02,0.02
2023-07-01,Person_0,08:48,16:48,8.0,0.0
2023-07-02,Person_0,08:45,16:45,8.0,0.0
2023-07-03,Person_0,08:49,16:44,7.92,0.0
2023-07-04,Person_0,08:47,16:45,7.97,0.0
2023-07-05,Person_0,08:49,16:42,7.88,0.0
2023-07-06,Person_0,08:38,16:46,8.13,0.13
2023-07-07,Person_0,08:44,16:46,8.03,0.03
2023-07-08,Person_0,08:47,16:45,7.97,0.0
2023-07-09,Person_0,08:42,16:47,8.08,0.08
2023-07-10,Person_0,08:42,16:44,8.03,0.03
2023-07-11,Person_0,08:48,16:39,7.85,0.0
2023-07-12,Person_0,08:49,16:44,7.92,0.0
2023-07-13,Person_0,08:49,16:44,7.92,0.0
2023-07-14,Person_0,08:45,16:45,8.0,0.0
2023-07-15,Person_0,08:40,16:45,8.08,0.08
2023-07-16,Person_0,08:43,16:47,8.07,0.07
2023-07-17,Person_0,08:45,16:42,7.95,0.0
2023-07-18,Person_0,08:49,16:43,7.9,0.0
2023-07-19,Person_0,08:43,16:42,7.98,0.0
2023-07-20,Person_0,08:44,16:41,7.95,0.0
2023-07-21,Person_0,08:41,16:46,8.08,0.08
2023-07-22,Person_0,08:45,16:43,7.97,0.0
2023-07-23,Person_0,08:46,16:49,8.05,0.05
2023-07-24,Person_0,08:50,16:43,7.88,0.0
2023-07-25,Person_0,08:49,16:50,8.02,0.02
2023-07-26,Person_0,08:47,16:46,7.98,0.0
2023-07-27,Person_0,08:44,16:43,7.98,0.0
2023-07-28,Person_0,08:42,16:48,8.1,0.1
2023-07-29,Person_0,08:43,16:42,7.98,0.0
2023-07-30,Person_0,08:46,16:45,7.98,0.0
2023-07-31,Person_0,08:42,16:42,8.0,0.0
2023-08-01,Person_0,08:43,16:42,7.98,0.0
2023-08-02,Person_0,08:41,16:46,8.08,0.08
2023-08-03,Person_0,08:44,16:50,8.1,0.1
2023-08-04,Person_0,08:40,16:44,8.07,0.07
2023-08-05,Person_0,08:38,16:46,8.13,0.13
2023-08-06,Person_0,08:49,16:46,7.95,0.0
2023-08-07,Person_0,08:42,16:45,8.05,0.05
2023-08-08,Person_0,08:41,16:44,8.05,0.05
2023-08-09,Person_0,08:47,16:43,7.93,0.0
2023-08-10,Person_0,08:49,16:51,8.03,0.03
2023-08-11,Person_0,08:42,16:45,8.05,0.05
2023-08-12,Person_0,08:47,16:40,7.88,0.0
2023-08-13,Person_0,08:47,16:43,7.93,0.0
2023-08-14,Person_0,08:44,16:50,8.1,0.1
2023-08-15,Person_0,08:43,16:52,8.15,0.15
2023-08-16,Person_0,08:45,16:47,8.03,0.03
2023-08-17,Person_0,08:46,16:44,7.97,0.0
2023-08-18,Person_0,08:46,16:41,7.92,0.0
2023-08-19,Person_0,08:45,16:48,8.05,0.05
2023-08-20,Person_0,08:46,16:45,7.98,0.0
2023-08-21,Person_0,08:44,16:45,8.02,0.02
2023-08-22,Person_0,08:46,16:49,8.05,0.05
2023-08-23,Person_0,08:45,16:46,8.02,0.02
2023-08-24,Person_0,08:42,16:48,8.1,0.1
2023-08-25,Person_0,08:45,16:46,8.02,0.02
2023-08-26,Person_0,08:45,16:46,8.02,0.02
2023-08-27,Person_0,08:43,16:49,8.1,0.1
2023-08-28,Person_0,08:42,16:48,8.1,0.1
2023-08-29,Person_0,08:48,16:48,8.0,0.0
2023-08-30,Person_0,08:46,16:44,7.97,0.0
2023-08-31,Person_0,08:47,16:51,8.07,0.07
2023-09-01,Person_0,08:38,16:45,8.12,0.12
2023-09-02,Person_0,08:43,16:48,8.08,0.08
2023-09-03,Person_0,08:47,16:46,7.98,0.0
2023-09-04,Person_0,08:40,16:48,8.13,0.13
2023-09-05,Person_0,08:40,16:43,8.05,0.05
2023-09-06,Person_0,08:43,16:42,7.98,0.0
2023-09-07,Person_0,08:47,16:44,7.95,0.0
2023-09-08,Person_0,08:46,16:46,8.0,0.0
2023-09-09,Person_0,08:39,16:42,8.05,0.05
2023-09-10,Person_0,08:46,16:45,7.98,0.0
2023-09-11,Person_0,08:42,16:42,8.0,0.0
2023-09-12,Person_0,08:45,16:45,8.0,0.0
2023-09-13,Person_0,08:46,16:47,8.02,0.02
2023-09-14,Person_0,08:43,16:43,8.0,0.0
2023-09-15,Person_0,08:41,16:48,8.12,0.12
2023-09-16,Person_0,08:43,16:42,7.98,0.0
2023-09-17,Person_0,08:48,16:47,7.98,0.0
2023-09-18,Person_0,08:46,16:47,8.02,0.02
2023-09-19,Person_0,08:50,16:46,7.93,0.0
2023-09-20,Person_0,08:46,16:44,7.97,0.0
2023-09-21,Person_0,08:49,16:46,7.95,0.0
2023-09-22,Person_0,08:43,16:44,8.02,0.02
2023-09-23,Person_0,08:53,16:40,7.78,0.0
2023-09-24,Person_0,08:47,16:40,7.88,0.0
2023-09-25,Person_0,08:45,16:43,7.97,0.0
2023-09-26,Person_0,08:47,16:50,8.05,0.05
2023-09-27,Person_0,08:40,16:46,8.1,0.1
2023-09-28,Person_0,08:43,16:39,7.93,0.0
2023-09-29,Person_0,08:50,16:40,7.83,0.0
2023-09-30,Person_0,08:46,16:45,7.98,0.0
2023-10-01,Person_0,08:44,16:49,8.08,0.08
2023-10-02,Person_0,08:42,16:43,8.02,0.02
2023-10-03,Person_0,08:42,16:50,8.13,0.13
2023-10-04,Person_0,08:42,16:42,8.0,0.0
2023-10-05,Person_0,08:43,16:47,8.07,0.07
2023-10-06,Person_0,08:51,16:45,7.9,0.0
2023-10-07,Person_0,08:43,16:49,8.1,0.1
2023-10-08,Person_0,08:43,16:50,8.12,0.12
2023-10-09,Person_0,08:47,16:40,7.88,0.0
2023-10-10,Person_0,08:39,16:46,8.12,0.12
2023-10-11,Person_0,08:46,16:41,7.92,0.0
2023-10-12,Person_0,08:48,16:42,7.9,0.0
2023-10-13,Person_0,08:46,16:47,8.02,0.02
2023-10-14,Person_0,08:39,16:44,8.08,0.08
2023-10-15,Person_0,08:46,16:48,8.03,0.03
2023-10-16,Person_0,08:44,16:40,7.93,0.0
2023-10-17,Person_0,08:44,16:45,8.02,0.02
2023-10-18,Person_0,08:50,16:44,7.9,0.0
2023-10-19,Person_0,08:45,16:48,8.05,0.05
2023-10-20,Person_0,08:45,16:46,8.02,0.02
2023-10-21,Person_0,08:48,16:42,7.9,0.0
2023-10-22,Person_0,08:47,16:48,8.02,0.02
2023-10-23,Person_0,08:44,16:45,8.02,0.02
2023-10-24,Person_0,08:43,16:47,8.07,0.07
2023-10-25,Person_0,08:47,16:43,7.93,0.0
2023-10-26,Person_0,08:44,16:46,8.03,0.03
2023-10-27,Person_0,08:48,16:44,7.93,0.0
2023-10-28,Person_0,08:47,16:43,7.93,0.0
2023-10-29,Person_0,08:44,16:45,8.02,0.02
2023-10-30,Person_0,08:46,16:42,7.93,0.0
2023-10-31,Person_0,08:48,16:42,7.9,0.0
2023-11-01,Person_0,08:47,16:44,7.95,0.0
2023-11-02,Person_0,08:48,16:46,7.97,0.0
2023-11-03,Person_0,08:40,16:45,8.08,0.08
2023-11-04,Person_0,08:45,16:51,8.1,0.1
2023-11-05,Person_0,08:41,16:46,8.08,0.08
2023-11-06,Person_0,08:51,16:39,7.8,0.0
2023-11-07,Person_0,08:49,16:44,7.92,0.0
2023-11-08,Person_0,08:51,16:45,7.9,0.0
2023-11-09,Person_0,08:51,16:43,7.87,0.0
2023-11-10,Person_0,08:44,16:43,7.98,0.0
2023-11-11,Person_0,08:47,16:43,7.93,0.0
2023-11-12,Person_0,08:50,16:39,7.82,0.0
2023-11-13,Person_0,08:43,16:46,8.05,0.05
2023-11-14,Person_0,08:44,16:49,8.08,0.08
2023-11-15,Person_0,08:48,16:44,7.93,0.0
2023-11-16,Person_0,08:47,16:43,7.93,0.0
2023-11-17,Person_0,08:51,16:39,7.8,0.0
2023-11-18,Person_0,08:40,16:51,8.18,0.18
2023-11-19,Person_0,08:44,16:46,8.03,0.03
2023-11-20,Person_0,08:46,16:52,8.1,0.1
2023-11-21,Person_0,08:44,16:46,8.03,0.03
2023-11-22,Person_0,08:47,16:48,8.02,0.02
2023-11-23,Person_0,08:44,16:43,7.98,0.0
2023-11-24,Person_0,08:45,16:46,8.02,0.02
2023-11-25,Person_0,08:47,16:45,7.97,0.0
2023-11-26,Person_0,08:50,16:48,7.97,0.0
2023-11-27,Person_0,08:53,16:45,7.87,0.0
2023-11-28,Person_0,08:41,16:44,8.05,0.05
2023-11-29,Person_0,08:52,16:48,7.93,0.0
2023-11-30,Person_0,08:43,16:46,8.05,0.05
2023-12-01,Person_0,08:46,16:48,8.03,0.03
2023-12-02,Person_0,08:47,16:42,7.92,0.0
2023-12-03,Person_0,08:46,16:44,7.97,0.0
2023-12-04,Person_0,08:45,16:44,7.98,0.0
2023-12-05,Person_0,08:46,16:48,8.03,0.03
2023-12-06,Person_0,08:42,16:41,7.98,0.0
2023-12-07,Person_0,08:47,16:49,8.03,0.03
2023-12-08,Person_0,08:46,16:41,7.92,0.0
2023-12-09,Person_0,08:47,16:44,7.95,0.0
2023-12-10,Person_0,08:51,16:40,7.82,0.0
2023-12-11,Person_0,08:48,16:42,7.9,0.0
2023-12-12,Person_0,08:40,16:42,8.03,0.03
2023-12-13,Person_0,08:43,16:43,8.0,0.0
2023-12-14,Person_0,08:45,16:43,7.97,0.0
2023-12-15,Person_0,08:47,16:41,7.9,0.0
2023-12-16,Person_0,08:37,16:43,8.1,0.1
2023-12-17,Person_0,08:45,16:44,7.98,0.0
2023-12-18,Person_0,08:48,16:42,7.9,0.0
2023-12-19,Person_0,08:43,16:47,8.07,0.07
2023-12-20,Person_0,08:46,16:42,7.93,0.0
2023-12-21,Person_0,08:42,16:41,7.98,0.0
2023-12-22,Person_0,08:47,16:42,7.92,0.0
2023-12-23,Person_0,08:51,16:51,8.0,0.0
2023-12-24,Person_0,08:47,16:46,7.98,0.0
2023-12-25,Person_0,08:49,16:42,7.88,0.0
2023-12-26,Person_0,08:49,16:41,7.87,0.0
2023-12-27,Person_0,08:49,16:47,7.97,0.0
2023-12-28,Person_0,08:44,16:39,7.92,0.0
2023-12-29,Person_0,08:42,16:44,8.03,0.03
2023-12-30,Person_0,08:48,16:43,7.92,0.0
2023-12-31,Person_0,08:46,16:45,7.98,0.0
2024-01-01,Person_0,08:45,16:50,8.08,0.08
2024-01-02,Person_0,08:42,16:47,8.08,0.08
2024-01-03,Person_0,08:50,16:45,7.92,0.0
2024-01-04,Person_0,08:43,16:43,8.0,0.0
2024-01-05,Person_0,08:45,16:45,8.0,0.0
2024-01-06,Person_0,08:45,16:45,8.0,0.0
2024-01-07,Person_0,08:46,16:46,8.0,0.0
2024-01-08,Person_0,08:42,16:47,8.08,0.08
2024-01-09,Person_0,08:45,16:36,7.85,0.0
2024-01-10,Person_0,08:45,16:45,8.0,0.0
2024-01-11,Person_0,08:49,16:44,7.92,0.0
2024-01-12,Person_0,08:45,16:45,8.0,0.0
2024-01-13,Person_0,08:47,16:48,8.02,0.02
2024-01-14,Person_0,08:42,16:47,8.08,0.08
2024-01-15,Person_0,08:43,16:46,8.05,0.05
2024-01-16,Person_0,08:49,16:42,7.88,0.0
2024-01-17,Person_0,08:48,16:41,7.88,0.0
2024-01-18,Person_0,08:48,16:41,7.88,0.0
2024-01-19,Person_0,08:42,16:45,8.05,0.05
2024-01-20,Person_0,08:44,16:45,8.02,0.02
2024-01-21,Person_0,08:43,16:44,8.02,0.02
2024-01-22,Person_0,08:42,16:49,8.12,0.12
2024-01-23,Person_0,08:49,16:49,8.0,0.0
2024-01-24,Person_0,08:41,16:44,8.05,0.05
2024-01-25,Person_0,08:45,16:48,8.05,0.05
2024-01-26,Person_0,08:43,16:44,8.02,0.02
2024-01-27,Person_0,08:43,16:41,7.97,0.0
2024-01-28,Person_0,08:46,16:44,7.97,0.0
2024-01-29,Person_0,08:51,16:44,7.88,0.0
2024-01-30,Person_0,08:48,16:42,7.9,0.0
2024-01-31,Person_0,08:48,16:42,7.9,0.0
2024-02-01,Person_0,08:40,16:41,8.02,0.02
2024-02-02,Person_0,08:48,16:45,7.95,0.0
2024-02-03,Person_0,08:48,16:45,7.95,0.0
2024-02-04,Person_0,08:48,16:45,7.95,0.0
2024-02-05,Person_0,08:49,16:49,8.0,0.0
2024-02-06,Person_0,08:41,16:45,8.07,0.07
2024-02-07,Person_0,08:45,16:42,7.95,0.0
2024-02-08,Person_0,08:46,16:46,8.0,0.0
2024-02-09,Person_0,08:47,16:42,7.92,0.0
2024-02-10,Person_0,08:47,16:50,8.05,0.05
2024-02-11,Person_0,08:44,16:44,8.0,0.0
2024-02-12,Person_0,08:42,16:42,8.0,0.0
2024-02-13,Person_0,08:47,16:45,7.97,0.0
2024-02-14,Person_0,08:45,16:49,8.07,0.07
2024-02-15,Person_0,08:49,16:51,8.03,0.03
2024-02-16,Person_0,08:48,16:45,7.95,0.0
2024-02-17,Person_0,08:42,16:46,8.07,0.07
2024-02-18,Person_0,08:47,16:49,8.03,0.03
2024-02-19,Person_0,08:51,16:47,7.93,0.0
2024-02-20,Person_0,08:43,16:44,8.02,0.02
2024-02-21,Person_0,08:44,16:46,8.03,0.03
2024-02-22,Person_0,08:47,16:43,7.93,0.0
2024-02-23,Person_0,08:45,16:44,7.98,0.0
2024-02-24,Person_0,08:45,16:47,8.03,0.03
2024-02-25,Person_0,08:45,16:42,7.95,0.0
2024-02-26,Person_0,08:38,16:47,8.15,0.15
2024-02-27,Person_0,08:44,16:45,8.02,0.02
2024-02-28,Person_0,08:48,16:49,8.02,0.02
2024-02-29,Person_0,08:43,16:41,7.97,0.0
2024-03-01,Person_0,08:44,16:50,8.1,0.1
2024-03-02,Person_0,08:45,16:41,7.93,0.0
2024-03-03,Person_0,08:43,16:43,8.0,0.0
2024-03-04,Person_0,08:46,16:50,8.07,0.07
2024-03-05,Person_0,08:43,16:40,7.95,0.0
2024-03-06,Person_0,08:45,16:48,8.05,0.05
2024-03-07,Person_0,08:42,16:44,8.03,0.03
2024-03-08,Person_0,08:44,16:44,8.0,0.0
2024-03-09,Person_0,08:48,16:45,7.95,0.0
2024-03-10,Person_0,08:47,16:45,7.97,0.0
2024-03-11,Person_0,08:46,16:46,8.0,0.0
2024-03-12,Person_0,08:42,16:51,8.15,0.15
2024-03-13,Person_0,08:41,16:43,8.03,0.03
2024-03-14,Person_0,08:48,16:46,7.97,0.0
2024-03-15,Person_0,08:46,16:48,8.03,0.03
2024-03-16,Person_0,08:44,16:43,7.98,0.0
2024-03-17,Person_0,08:43,16:48,8.08,0.08
2024-03-18,Person_0,08:43,16:45,8.03,0.03
2024-03-19,Person_0,08:47,16:40,7.88,0.0
2024-03-20,Person_0,08:49,16:46,7.95,0.0
2024-03-21,Person_0,08:38,16:44,8.1,0.1
2024-03-22,Person_0,08:50,16:42,7.87,0.0
2024-03-23,Person_0,08:51,16:44,7.88,0.0
2024-03-24,Person_0,08:43,16:46,8.05,0.05
2024-03-25,Person_0,08:45,16:47,8.03,0.03
2024-03-26,Person_0,08:47,16:45,7.97,0.0
2024-03-27,Person_0,08:45,16:48,8.05,0.05
2024-03-28,Person_0,08:45,16:46,8.02,0.02
2024-03-29,Person_0,08:46,16:49,8.05,0.05
2024-03-30,Person_0,08:44,16:53,8.15,0.15
2024-03-31,Person_0,08:47,16:49,8.03,0.03
2024-04-01,Person_0,08:43,16:44,8.02,0.02
2024-04-02,Person_0,08:42,16:48,8.1,0.1
2024-04-03,Person_0,08:46,16:49,8.05,0.05
2024-04-04,Person_0,08:47,16:49,8.03,0.03
2024-04-05,Person_0,08:42,16:45,8.05,0.05
2024-04-06,Person_0,08:44,16:54,8.17,0.17
2024-04-07,Person_0,08:44,16:39,7.92,0.0
2024-04-08,Person_0,08:50,16:39,7.82,0.0
2024-04-09,Person_0,08:48,16:47,7.98,0.0
2024-04-10,Person_0,08:46,16:44,7.97,0.0
2024-04-11,Person_0,08:47,16:50,8.05,0.05
2024-04-12,Person_0,08:43,16:48,8.08,0.08
2024-04-13,Person_0,08:41,16:47,8.1,0.1
2024-04-14,Person_0,08:48,16:43,7.92,0.0
2024-04-15,Person_0,08:46,16:48,8.03,0.03
2024-04-16,Person_0,08:48,16:47,7.98,0.0
2024-04-17,Person_0,08:42,16:45,8.05,0.05
2024-04-18,Person_0,08:51,16:46,7.92,0.0
2024-04-19,Person_0,08:44,16:44,8.0,0.0
2024-04-20,Person_0,08:44,16:46,8.03,0.03
2024-04-21,Person_0,08:48,16:46,7.97,0.0
2024-04-22,Person_0,08:42,16:47,8.08,0.08
2024-04-23,Person_0,08:48,16:43,7.92,0.0
2024-04-24,Person_0,08:45,16:42,7.95,0.0
2024-04-25,Person_0,08:44,16:43,7.98,0.0
2024-04-26,Person_0,08:46,16:46,8.0,0.0
2024-04-27,Person_0,08:45,16:50,8.08,0.08
2024-04-28,Person_0,08:47,16:47,8.0,0.0
2024-04-29,Person_0,08:45,16:43,7.97,0.0
2024-04-30,Person_0,08:47,16:47,8.0,0.0
2024-05-01,Person_0,08:44,16:45,8.02,0.02
2024-05-02,Person_0,08:51,16:47,7.93,0.0
2024-05-03,Person_0,08:46,16:40,7.9,0.0
2024-05-04,Person_0,08:48,16:44,7.93,0.0
2024-05-05,Person_0,08:51,16:45,7.9,0.0
2024-05-06,Person_0,08:47,16:49,8.03,0.03
2024-05-07,Person_0,08:44,16:42,7.97,0.0
2024-05-08,Person_0,08:46,16:45,7.98,0.0
2024-05-09,Person_0,08:44,16:46,8.03,0.03
2024-05-10,Person_0,08:41,16:45,8.07,0.07
2024-05-11,Person_0,08:47,16:48,8.02,0.02
